Gene Name,Upregulated,Downregulated,Max
SPATS2L,0.6894878149032593,0.5213326215744019,0.6894878149032593
GAPDH,0.6891776919364929,0.42946210503578186,0.6891776919364929
OASL,0.6890766024589539,0.5039424896240234,0.6890766024589539
SRBD1,0.6886540651321411,0.36547234654426575,0.6886540651321411
HSPH1,0.48098403215408325,0.687913715839386,0.687913715839386
PDZK1IP1,0.4726194143295288,0.6863451600074768,0.6863451600074768
DBT,0.5410547256469727,0.6861978769302368,0.6861978769302368
IFIT1,0.6859824657440186,0.5114623308181763,0.6859824657440186
ZC2HC1A,0.48140475153923035,0.6859647035598755,0.6859647035598755
LY6E,0.6858235001564026,0.5180433392524719,0.6858235001564026
CMC2,0.6851694583892822,0.5223844051361084,0.6851694583892822
COX16,0.6843962073326111,0.4607551693916321,0.6843962073326111
GATAD1,0.34762242436408997,0.6833301782608032,0.6833301782608032
HBS1L,0.6832753419876099,0.35346028208732605,0.6832753419876099
DDX60,0.6822428703308105,0.4746260344982147,0.6822428703308105
TUT4,0.48024502396583557,0.6813536882400513,0.6813536882400513
DR1,0.40888723731040955,0.6812028884887695,0.6812028884887695
TSPYL1,0.49235978722572327,0.6810094118118286,0.6810094118118286
BAG3,0.4261709153652191,0.6808497309684753,0.6808497309684753
PNP,0.680289626121521,0.42630600929260254,0.680289626121521
PJA1,0.4438880383968353,0.6802747249603271,0.6802747249603271
ZCCHC2,0.6802487969398499,0.33412861824035645,0.6802487969398499
ZFP36,0.6795066595077515,0.48730507493019104,0.6795066595077515
FBXO7,0.5410547256469727,0.6794639229774475,0.6794639229774475
ANKH,0.5321541428565979,0.679450273513794,0.679450273513794
CBFA2T2,0.47306373715400696,0.6780642867088318,0.6780642867088318
RPL23,0.677701473236084,0.392779678106308,0.677701473236084
SP140,0.6751166582107544,0.4898320138454437,0.6751166582107544
RBM4,0.48069503903388977,0.6747952103614807,0.6747952103614807
SLC6A8,0.4582957923412323,0.6747684478759766,0.6747684478759766
PURA,0.5410547256469727,0.6744332313537598,0.6744332313537598
PAM,0.6741049885749817,0.35079118609428406,0.6741049885749817
HIST1H1C,0.6728174090385437,0.4899749457836151,0.6728174090385437
SLC39A8,0.6726714968681335,0.38439100980758667,0.6726714968681335
HMGB2,0.6722056269645691,0.4384685754776001,0.6722056269645691
ABCA1,0.6717336773872375,0.36785975098609924,0.6717336773872375
MRPL19,0.46945157647132874,0.6708890795707703,0.6708890795707703
CAT,0.2813349962234497,0.6698539853096008,0.6698539853096008
PTGS2,0.669518768787384,0.5036618113517761,0.669518768787384
MAPRE2,0.5312227606773376,0.6694567203521729,0.6694567203521729
GFM1,0.49383583664894104,0.6692786812782288,0.6692786812782288
POGK,0.4502638280391693,0.6689673662185669,0.6689673662185669
BCL2L1,0.5252748131752014,0.6688674092292786,0.6688674092292786
TOB1,0.668728232383728,0.4970415532588959,0.668728232383728
GLYR1,0.517799437046051,0.6686162948608398,0.6686162948608398
COMMD4,0.667783260345459,0.484178751707077,0.667783260345459
